mserp_addressbooknames,mserp_dataarea,mserp_dirpartytablebientityid,mserp_instancerelationtype,mserp_instancerelationtype_bigint,mserp_knownas,mserp_languageid,mserp_name,mserp_namealias,mserp_partynumber,mserp_primaryaddresslocation,mserp_primaryaddresslocation_bigint,mserp_primarycontactemail,mserp_primarycontactemail_bigint,mserp_primarycontactfacebook,mserp_primarycontactfacebook_bigint,mserp_primarycontactfax,mserp_primarycontactfax_bigint,mserp_primarycontactlinkedin,mserp_primarycontactlinkedin_bigint,mserp_primarycontactphone,mserp_primarycontactphone_bigint,mserp_primarycontacttelex,mserp_primarycontacttelex_bigint,mserp_primarycontacttwitter,mserp_primarycontacttwitter_bigint,mserp_primarycontacturl,mserp_primarycontacturl_bigint,mserp_sourcekey,mserp_sourcekey_bigint,versionnumber
Unassigned,,00006cdf-0000-0000-fa00-005001000000,2077,2077,,en-us,Adventure Services,Adventure Services,000000002,5637144826,5637144826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5637144826,5637144826,NULL
Unassigned,,00006cdf-0000-0000-fb00-005001000000,2077,2077,,en-us,Alpine Electronics,Alpine Electronics,000000003,5637144833,5637144833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5637144827,5637144827,NULL
Unassigned,,00006cdf-0000-0000-fc00-005001000000,2077,2077,,en-us,City Power & Light,City Power & Light,000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5637144828,5637144828,NULL
,dat,00006cdf-0000-0000-f604-014105000000,9027,9027,,en-us,dat,dat,000000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422326,22565422326,NULL
,GLCO,00006cdf-0000-0000-f005-014105000000,9027,9027,,,Contoso Group,Contoso Group,000000021,22565424296,22565424296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422576,22565422576,NULL
,GLMF,00006cdf-0000-0000-f205-014105000000,9027,9027,,en-us,Contoso Entertainment System,Contoso Entertainmen,000000022,22565427077,22565427077,0,0,0,0,0,0,0,0,22565425096,22565425096,0,0,0,0,0,0,22565422578,22565422578,NULL
,DEMF,00006cdf-0000-0000-f305-014105000000,9027,9027,,en-us,Contoso Entertainment System Germany,Contoso Entertainmen,000000023,22565424298,22565424298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422579,22565422579,NULL
,USMF,00006cdf-0000-0000-f405-014105000000,9027,9027,,en-us,에코프로,인스파이어리조트,000000024,22565424299,22565424299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422580,22565422580,NULL
,GLSI,00006cdf-0000-0000-f505-014105000000,9027,9027,,en-us,Contoso Consulting,Contoso Consulting,000000025,22565424300,22565424300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422581,22565422581,NULL
,FRSI,00006cdf-0000-0000-f605-014105000000,9027,9027,,fr,Contoso Consulting FR,Contoso Consulting F,000000026,22565424301,22565424301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422582,22565422582,NULL
,USSI,00006cdf-0000-0000-f705-014105000000,9027,9027,,en-us,Contoso Consulting USA,Contoso Consulting U,000000027,22565424302,22565424302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422583,22565422583,NULL
,GBSI,00006cdf-0000-0000-f805-014105000000,9027,9027,,,Contoso Consulting GB,Contoso Consulting G,000000028,22565424303,22565424303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422584,22565422584,NULL
,GLRT,00006cdf-0000-0000-f905-014105000000,9027,9027,,,Contoso Retail,Contoso Retail,000000029,22565424304,22565424304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422585,22565422585,NULL
,USRT,00006cdf-0000-0000-fa05-014105000000,9027,9027,,en-us,Contoso Retail USA,Contoso Retail USA,000000030,22565424305,22565424305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422586,22565422586,NULL
