,mserp_knownas,mserp_instancerelationtype_bigint,versionnumber,mserp_primarycontactfacebook,mserp_languageid,mserp_name,mserp_primarycontacttwitter_bigint,mserp_addressbooknames,mserp_primarycontactlinkedin_bigint,mserp_dirpartytablebientityid,mserp_primarycontacttelex_bigint,mserp_sourcekey_bigint,mserp_primarycontactfacebook_bigint,mserp_sourcekey,mserp_primarycontactlinkedin,mserp_primarycontacturl_bigint,mserp_dataarea,mserp_primaryaddresslocation,mserp_namealias,mserp_primarycontactemail,mserp_primaryaddresslocation_bigint,mserp_primarycontactfax,mserp_primarycontactemail_bigint,mserp_primarycontactphone,mserp_primarycontactfax_bigint,mserp_primarycontacttelex,mserp_primarycontactphone_bigint,mserp_primarycontacturl,mserp_instancerelationtype,mserp_primarycontacttwitter,mserp_partynumber
0,,2077,,0,en-us,Adventure Services,0,Unassigned,0,00006cdf-0000-0000-fa00-005001000000,0,5637144826,0,5637144826,0,0,,5637144826,Adventure Services,0,5637144826,0,0,0,0,0,0,0,2077,0,000000002
1,,2077,,0,en-us,Alpine Electronics,0,Unassigned,0,00006cdf-0000-0000-fb00-005001000000,0,5637144827,0,5637144827,0,0,,5637144833,Alpine Electronics,0,5637144833,0,0,0,0,0,0,0,2077,0,000000003
2,,2077,,0,en-us,City Power & Light,0,Unassigned,0,00006cdf-0000-0000-fc00-005001000000,0,5637144828,0,5637144828,0,0,,0,City Power & Light,0,0,0,0,0,0,0,0,0,2077,0,000000004
3,,9027,,0,en-us,dat,0,,0,00006cdf-0000-0000-f604-014105000000,0,22565422326,0,22565422326,0,0,dat,0,dat,0,0,0,0,0,0,0,0,0,9027,0,000000019
4,,9027,,0,,Contoso Group,0,,0,00006cdf-0000-0000-f005-014105000000,0,22565422576,0,22565422576,0,0,GLCO,22565424296,Contoso Group,0,22565424296,0,0,0,0,0,0,0,9027,0,000000021
5,,9027,,0,en-us,Contoso Entertainment System,0,,0,00006cdf-0000-0000-f205-014105000000,0,22565422578,0,22565422578,0,0,GLMF,22565427077,Contoso Entertainmen,0,22565427077,0,0,22565425096,0,0,22565425096,0,9027,0,000000022
6,,9027,,0,en-us,Contoso Entertainment System Germany,0,,0,00006cdf-0000-0000-f305-014105000000,0,22565422579,0,22565422579,0,0,DEMF,22565424298,Contoso Entertainmen,0,22565424298,0,0,0,0,0,0,0,9027,0,000000023
7,,9027,,0,en-us,에코프로,0,,0,00006cdf-0000-0000-f405-014105000000,0,22565422580,0,22565422580,0,0,USMF,22565424299,인스파이어리조트,0,22565424299,0,0,0,0,0,0,0,9027,0,000000024
8,,9027,,0,en-us,Contoso Consulting,0,,0,00006cdf-0000-0000-f505-014105000000,0,22565422581,0,22565422581,0,0,GLSI,22565424300,Contoso Consulting,0,22565424300,0,0,0,0,0,0,0,9027,0,000000025
9,,9027,,0,fr,Contoso Consulting FR,0,,0,00006cdf-0000-0000-f605-014105000000,0,22565422582,0,22565422582,0,0,FRSI,22565424301,Contoso Consulting F,0,22565424301,0,0,0,0,0,0,0,9027,0,000000026
10,,9027,,0,en-us,Contoso Consulting USA,0,,0,00006cdf-0000-0000-f705-014105000000,0,22565422583,0,22565422583,0,0,USSI,22565424302,Contoso Consulting U,0,22565424302,0,0,0,0,0,0,0,9027,0,000000027
